::1 - - [08/Sep/2025:14:19:19 +0000] "GET /Alumno?Nombre=Miguel&Carrera=ISC HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
::1 - - [11/Sep/2025:16:39:13 +0000] "POST /Alumno/ HTTP/1.1" 500 692 "-" "HTTPie"
::1 - - [11/Sep/2025:16:40:53 +0000] "GET /Alumno/ HTTP/1.1" 500 692 "-" "HTTPie"
::1 - - [11/Sep/2025:17:37:56 +0000] "GET /Alumno/ HTTP/1.1" 500 692 "-" "HTTPie"
::1 - - [11/Sep/2025:17:47:16 +0000] "GET /Alumno/ HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [11/Sep/2025:17:48:14 +0000] "GET /Alumno/ HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [12/Sep/2025:13:14:27 +0000] "GET /Alumno/ HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [12/Sep/2025:13:24:49 +0000] "GET /Alumno/ HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [12/Sep/2025:13:25:03 +0000] "GET /Alumno/ HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [12/Sep/2025:13:25:06 +0000] "GET /Alumno/ HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [12/Sep/2025:13:25:29 +0000] "GET /Alumno/ HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [12/Sep/2025:13:25:32 +0000] "GET /Alumno/ HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [12/Sep/2025:13:26:53 +0000] "GET /Alumno/ HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [12/Sep/2025:13:49:52 +0000] "GET /ObtenerPaises HTTP/1.1" - - "-" "HTTPie"
::1 - - [12/Sep/2025:13:49:57 +0000] "GET /ObtenerPaises HTTP/1.1" - - "-" "HTTPie"
::1 - - [12/Sep/2025:13:51:29 +0000] "GET /ObtenerPaises HTTP/1.1" - - "-" "HTTPie"
::1 - - [12/Sep/2025:13:52:35 +0000] "GET /Alumno HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [12/Sep/2025:14:18:55 +0000] "GET /Alumno HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [12/Sep/2025:14:19:09 +0000] "GET /Alumno HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [12/Sep/2025:14:26:48 +0000] "GET /Alumno HTTP/1.1" 200 18 "-" "HTTPie"
::1 - - [12/Sep/2025:14:27:46 +0000] "GET /Alumno HTTP/1.1" 500 692 "-" "HTTPie"
::1 - - [12/Sep/2025:14:38:32 +0000] "GET /Alumno HTTP/1.1" 500 692 "-" "HTTPie"
::1 - - [12/Sep/2025:14:48:46 +0000] "GET /ObtenerPaises HTTP/1.1" 404 152 "-" "HTTPie"
::1 - - [12/Sep/2025:14:50:46 +0000] "GET /ObtenerPaises HTTP/1.1" 404 152 "-" "HTTPie"
::1 - - [12/Sep/2025:14:53:10 +0000] "GET /ObtenerPaises HTTP/1.1" 404 152 "-" "HTTPie"
::1 - - [12/Sep/2025:14:53:20 +0000] "GET /ObtenerPaises HTTP/1.1" 404 152 "-" "HTTPie"
::1 - - [12/Sep/2025:14:53:21 +0000] "GET /ObtenerPaises HTTP/1.1" 404 152 "-" "HTTPie"
::1 - - [12/Sep/2025:14:53:21 +0000] "GET /ObtenerPaises HTTP/1.1" 404 152 "-" "HTTPie"
::1 - - [12/Sep/2025:14:53:21 +0000] "GET /ObtenerPaises HTTP/1.1" 404 152 "-" "HTTPie"
::1 - - [12/Sep/2025:14:53:21 +0000] "GET /ObtenerPaises HTTP/1.1" 404 152 "-" "HTTPie"
::1 - - [12/Sep/2025:14:53:21 +0000] "GET /ObtenerPaises HTTP/1.1" 404 152 "-" "HTTPie"
::1 - - [12/Sep/2025:14:53:22 +0000] "GET /ObtenerPaises HTTP/1.1" 404 152 "-" "HTTPie"
::1 - - [12/Sep/2025:14:53:39 +0000] "GET /Alumos HTTP/1.1" 404 145 "-" "HTTPie"
::1 - - [12/Sep/2025:14:53:53 +0000] "GET / HTTP/1.1" 404 139 "-" "HTTPie"
::1 - - [12/Sep/2025:14:53:54 +0000] "GET / HTTP/1.1" 404 139 "-" "HTTPie"
::1 - - [12/Sep/2025:14:53:56 +0000] "GET / HTTP/1.1" 404 139 "-" "HTTPie"
::1 - - [12/Sep/2025:14:54:01 +0000] "GET / HTTP/1.1" 404 139 "-" "HTTPie"
::1 - - [12/Sep/2025:14:55:20 +0000] "GET /Alumno/ObtenerPaises HTTP/1.1" 200 49 "-" "HTTPie"
::1 - - [12/Sep/2025:14:55:45 +0000] "GET /Alumno/ObtenerPaises HTTP/1.1" 200 49 "-" "HTTPie"
::1 - - [12/Sep/2025:14:56:42 +0000] "GET /Alumno/ObtenerPaises HTTP/1.1" 200 49 "-" "HTTPie"
::1 - - [12/Sep/2025:14:56:43 +0000] "GET /Alumno/ObtenerPaises HTTP/1.1" 200 49 "-" "HTTPie"
::1 - - [12/Sep/2025:14:56:45 +0000] "GET /Alumno/ObtenerPaises HTTP/1.1" 200 49 "-" "HTTPie"
::1 - - [12/Sep/2025:14:57:27 +0000] "GET /Alumno/ObtenerPaises HTTP/1.1" 200 49 "-" "HTTPie"
::1 - - [12/Sep/2025:14:57:29 +0000] "GET /Alumno/ObtenerPaises HTTP/1.1" 200 49 "-" "HTTPie"
